Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
dayTraining/dayClip7--00000.jpg;go;707;366;719;396;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip7--00000.jpg;go;906;444;924;469;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;0;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;0
dayTraining/dayClip7--00001.jpg;go;708;374;720;394;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip7--00001.jpg;go;910;445;928;470;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;1;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;1
dayTraining/dayClip7--00002.jpg;go;709;373;721;393;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip7--00002.jpg;go;916;449;928;469;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;2;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;2
dayTraining/dayClip7--00003.jpg;go;710;372;722;392;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip7--00003.jpg;go;919;450;934;470;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;3;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;3
dayTraining/dayClip7--00004.jpg;go;711;366;723;391;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip7--00004.jpg;go;924;450;936;470;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;4;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;4
dayTraining/dayClip7--00005.jpg;go;712;370;724;390;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;5;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;5
dayTraining/dayClip7--00005.jpg;go;928;445;940;470;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;5;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;5
dayTraining/dayClip7--00006.jpg;go;711;361;726;386;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;6;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;6
dayTraining/dayClip7--00006.jpg;go;932;446;944;466;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;6;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;6
dayTraining/dayClip7--00007.jpg;go;712;361;724;381;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;7;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;7
dayTraining/dayClip7--00007.jpg;go;933;442;951;462;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;7;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;7
dayTraining/dayClip7--00008.jpg;go;713;350;725;375;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;8;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;8
dayTraining/dayClip7--00008.jpg;go;939;433;954;458;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;8;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;8
dayTraining/dayClip7--00009.jpg;go;714;355;726;375;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;9;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;9
dayTraining/dayClip7--00009.jpg;go;944;434;959;459;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;9;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;9
dayTraining/dayClip7--00010.jpg;go;716;349;728;374;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;10;dayTraining/dayClip7/dayClip7Shutter0.000200-Gain-0.mp4;10
