Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
nightTraining/nightClip2--00000.jpg;go;522;371;529;386;nightTraining/nightClip2/clip2.mp4;0;nightTraining/nightClip2/clip2.mp4;0
nightTraining/nightClip2--00000.jpg;go;732;340;744;361;nightTraining/nightClip2/clip2.mp4;0;nightTraining/nightClip2/clip2.mp4;0
nightTraining/nightClip2--00000.jpg;go;770;339;780;366;nightTraining/nightClip2/clip2.mp4;0;nightTraining/nightClip2/clip2.mp4;0
nightTraining/nightClip2--00000.jpg;go;853;372;862;393;nightTraining/nightClip2/clip2.mp4;0;nightTraining/nightClip2/clip2.mp4;0
nightTraining/nightClip2--00000.jpg;go;763;371;770;386;nightTraining/nightClip2/clip2.mp4;0;nightTraining/nightClip2/clip2.mp4;0
nightTraining/nightClip2--00000.jpg;go;782;366;792;387;nightTraining/nightClip2/clip2.mp4;0;nightTraining/nightClip2/clip2.mp4;0
nightTraining/nightClip2--00001.jpg;go;518;371;527;386;nightTraining/nightClip2/clip2.mp4;1;nightTraining/nightClip2/clip2.mp4;1
nightTraining/nightClip2--00001.jpg;go;731;341;741;356;nightTraining/nightClip2/clip2.mp4;1;nightTraining/nightClip2/clip2.mp4;1
nightTraining/nightClip2--00001.jpg;go;766;340;778;364;nightTraining/nightClip2/clip2.mp4;1;nightTraining/nightClip2/clip2.mp4;1
nightTraining/nightClip2--00001.jpg;go;851;373;860;388;nightTraining/nightClip2/clip2.mp4;1;nightTraining/nightClip2/clip2.mp4;1
nightTraining/nightClip2--00001.jpg;go;762;369;769;384;nightTraining/nightClip2/clip2.mp4;1;nightTraining/nightClip2/clip2.mp4;1
nightTraining/nightClip2--00001.jpg;go;782;370;789;382;nightTraining/nightClip2/clip2.mp4;1;nightTraining/nightClip2/clip2.mp4;1
nightTraining/nightClip2--00002.jpg;go;514;370;521;385;nightTraining/nightClip2/clip2.mp4;2;nightTraining/nightClip2/clip2.mp4;2
