Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
nightTest/nightSequence2--00000.jpg;stop;566;335;572;348;nightTest/nightSequence2/testSequence2.mp4;0;nightTest/nightSequence2/testSequence2.mp4;0
nightTest/nightSequence2--00000.jpg;stop;695;308;705;329;nightTest/nightSequence2/testSequence2.mp4;0;nightTest/nightSequence2/testSequence2.mp4;0
nightTest/nightSequence2--00000.jpg;stop;745;335;752;345;nightTest/nightSequence2/testSequence2.mp4;0;nightTest/nightSequence2/testSequence2.mp4;0
nightTest/nightSequence2--00000.jpg;stop;678;331;684;341;nightTest/nightSequence2/testSequence2.mp4;0;nightTest/nightSequence2/testSequence2.mp4;0
nightTest/nightSequence2--00001.jpg;stop;564;333;571;346;nightTest/nightSequence2/testSequence2.mp4;1;nightTest/nightSequence2/testSequence2.mp4;1
nightTest/nightSequence2--00001.jpg;stop;696;308;703;321;nightTest/nightSequence2/testSequence2.mp4;1;nightTest/nightSequence2/testSequence2.mp4;1
nightTest/nightSequence2--00001.jpg;stop;746;330;756;351;nightTest/nightSequence2/testSequence2.mp4;1;nightTest/nightSequence2/testSequence2.mp4;1
nightTest/nightSequence2--00002.jpg;stop;565;337;571;350;nightTest/nightSequence2/testSequence2.mp4;2;nightTest/nightSequence2/testSequence2.mp4;2
nightTest/nightSequence2--00002.jpg;stop;698;311;704;327;nightTest/nightSequence2/testSequence2.mp4;2;nightTest/nightSequence2/testSequence2.mp4;2
nightTest/nightSequence2--00002.jpg;stop;746;332;758;356;nightTest/nightSequence2/testSequence2.mp4;2;nightTest/nightSequence2/testSequence2.mp4;2
nightTest/nightSequence2--00002.jpg;stop;678;333;684;343;nightTest/nightSequence2/testSequence2.mp4;2;nightTest/nightSequence2/testSequence2.mp4;2
nightTest/nightSequence2--00003.jpg;stop;566;342;572;352;nightTest/nightSequence2/testSequence2.mp4;3;nightTest/nightSequence2/testSequence2.mp4;3
nightTest/nightSequence2--00003.jpg;stop;697;314;704;330;nightTest/nightSequence2/testSequence2.mp4;3;nightTest/nightSequence2/testSequence2.mp4;3
nightTest/nightSequence2--00003.jpg;stop;747;336;757;360;nightTest/nightSequence2/testSequence2.mp4;3;nightTest/nightSequence2/testSequence2.mp4;3
nightTest/nightSequence2--00004.jpg;stop;698;319;705;329;nightTest/nightSequence2/testSequence2.mp4;4;nightTest/nightSequence2/testSequence2.mp4;4
nightTest/nightSequence2--00004.jpg;stop;749;340;759;361;nightTest/nightSequence2/testSequence2.mp4;4;nightTest/nightSequence2/testSequence2.mp4;4
nightTest/nightSequence2--00004.jpg;stop;680;339;686;349;nightTest/nightSequence2/testSequence2.mp4;4;nightTest/nightSequence2/testSequence2.mp4;4
nightTest/nightSequence2--00005.jpg;stop;564;355;573;373;nightTest/nightSequence2/testSequence2.mp4;5;nightTest/nightSequence2/testSequence2.mp4;5
nightTest/nightSequence2--00005.jpg;stop;698;317;707;330;nightTest/nightSequence2/testSequence2.mp4;5;nightTest/nightSequence2/testSequence2.mp4;5
nightTest/nightSequence2--00005.jpg;stop;749;340;759;358;nightTest/nightSequence2/testSequence2.mp4;5;nightTest/nightSequence2/testSequence2.mp4;5
